Provinve Code,İL ADI,RECEP TAYYİP ERDOĞAN,MUHARREM İNCE,KEMAL KILIÇDAROĞLU,SİNAN OĞAN,Total Vote,Kılıçdaroğlu Percentage,Erdoğan Percentage
1,ADANA,610132,5110,706780,66903,1388925,50.88683694,43.92836186
2,ADIYAMAN,211389,1203,99771,6963,319326,31.24424569,66.19849308
3,AFYONKARAHİSAR,301941,2642,136507,31711,472801,28.87197785,63.86217457
4,AĞRI,68468,873,142021,4489,215851,65.79584991,31.72002909
5,AKSARAY,180181,1077,56425,14208,251891,22.40056215,71.53133697
6,AMASYA,130248,907,88091,12301,231547,38.04454387,56.25121466
7,ANKARA,1772846,11143,1824023,246395,3854407,47.32305125,45.99529837
8,ANTALYA,667719,9883,890202,107849,1675653,53.12567697,39.84828601
9,ARDAHAN,21355,267,30619,2293,54534,56.14662412,39.15905674
10,ARTVİN,54620,601,53371,5958,114550,46.59188127,47.68223483
11,AYDIN,294124,5258,432886,40130,772398,56.04442269,38.07933216
12,BALIKESİR,399145,5996,431014,49463,885618,48.66816167,45.06965757
13,BARTIN,74428,1288,48409,8534,132659,36.49130477,56.10474977
14,BATMAN,101386,936,221356,3941,327619,67.56506796,30.94631264
15,BAYBURT,38757,89,7594,2710,49150,15.45066124,78.85452696
16,BİLECİK,75103,1098,62120,12232,150553,41.26121698,49.88475819
17,BİNGÖL,94412,564,47195,2898,145069,32.53279474,65.08075468
18,BİTLİS,80997,688,88779,3928,174392,50.90772513,46.44536447
19,BOLU,128951,1262,65720,15893,211826,31.0254643,60.87590758
20,BURDUR,93090,1493,73601,11832,180016,40.88581015,51.71207004
21,BURSA,1089522,9645,859736,157840,2116743,40.61598408,51.47162409
22,ÇANAKKALE,155165,2751,214450,20511,392877,54.58451373,39.49454918
23,ÇANKIRI,88908,576,25065,8702,123251,20.33654899,72.13572304
24,ÇORUM,218807,1414,117373,16822,354416,33.11729719,61.73733691
25,DENİZLİ,312634,4738,344527,50509,712408,48.36091116,43.88412258
26,DİYARBAKIR,239837,2815,651775,11391,905818,71.95429987,26.47739391
27,DÜZCE,182976,1051,66447,16274,266748,24.91002744,68.5950785
28,EDİRNE,91025,1673,179873,10875,283446,63.45935381,32.11370067
29,ELAZIĞ,242098,1003,101764,15531,360396,28.23671739,67.17555134
30,ERZİNCAN,89811,279,54049,7307,151446,35.68862829,59.30232558
31,ERZURUM,295655,1228,105892,28301,431076,24.56457794,68.58535386
32,ESKİŞEHİR,257707,2995,310550,45076,616328,50.38713153,41.81328773
33,GAZİANTEP,684051,4717,396591,59238,1144597,34.64896378,59.76348007
34,GİRESUN,183750,1660,99079,16506,300995,32.91715809,61.04752571
35,GÜMÜŞHANE,58267,249,15598,4183,78297,19.92158065,74.4179215
36,HAKKARİ,37188,458,109148,4139,150933,72.31553073,24.63874699
37,HATAY,418228,2747,418709,31118,870802,48.08314634,48.0279099
38,IĞDIR,26056,284,64369,12304,103013,62.48628814,25.29389495
39,ISPARTA,154331,1839,109962,21530,287662,38.22611259,53.65011715
40,İSTANBUL,4738748,25631,4928772,457564,10150715,48.55590961,46.68388384
41,İZMİR,964470,13744,1939651,145808,3063673,63.31129334,31.48084015
42,KAHRAMANMARAŞ,453535,2655,140066,34729,630985,22.19799203,71.87730295
43,KARABÜK,94396,1030,50937,12564,158927,32.0505641,59.39582324
44,KARAMAN,100850,1053,49647,13026,164576,30.16660996,61.27867976
45,KARS,56366,688,78105,7956,143115,54.57499214,39.38510988
46,KASTAMONU,165570,1911,67390,18090,252961,26.64047027,65.45277731
47,KAYSERİ,582088,3294,252613,81125,919120,27.48422404,63.33101227
48,KİLİS,55451,526,22853,5763,84593,27.01523767,65.55034104
49,KIRIKKALE,105648,754,58598,12083,177083,33.09069758,59.66015936
50,KIRKLARELİ,79824,1243,170348,10575,261990,65.02080232,30.46833849
51,KIRŞEHİR,80871,589,57984,10003,149447,38.79903912,54.11349843
52,KOCAELİ,740509,5046,528534,90407,1364496,38.73474162,54.26978166
53,KONYA,983270,5544,341123,96333,1426270,23.91714051,68.93996228
54,KÜTAHYA,256211,2441,101948,25764,386364,26.38651634,66.31337288
55,MALATYA,296188,1050,115695,13906,426839,27.10506772,69.39103503
56,MANİSA,468849,6501,458205,60884,994439,46.07673271,47.14708494
57,MARDİN,141234,1038,289109,5959,437340,66.10623314,32.29386747
58,MERSİN,455498,4930,693167,58662,1212257,57.17987192,37.57437573
59,MUĞLA,225948,4767,448925,34037,713677,62.90310603,31.6597004
60,MUŞ,72102,557,108519,3120,184298,58.88235358,39.12250811
61,NEVŞEHİR,125889,773,61350,12195,200207,30.6432842,62.8794198
62,NİĞDE,130421,1162,77875,13541,222999,34.92168126,58.48501563
63,ORDU,312502,2959,163148,24164,502773,32.44963433,62.15568457
64,OSMANİYE,206929,1784,102070,21286,332069,30.73758767,62.31506103
65,RİZE,169230,803,51211,11234,232478,22.02832096,72.79398481
66,SAKARYA,457175,3069,196777,49076,706097,27.86826739,64.74676992
67,SAMSUN,555696,4215,281961,54166,896038,31.46752705,62.01701267
68,ŞANLIURFA,606584,3073,353063,15576,978296,36.08958843,62.00413781
69,SİİRT,67465,604,91352,2960,162381,56.25781341,41.54734852
70,SİNOP,85405,1146,51751,7650,145952,35.45754769,58.51581342
71,ŞIRNAK,57228,736,202543,6509,267016,75.85425592,21.43242353
72,SİVAS,280294,978,97940,24659,403871,24.25031755,69.40186347
73,TEKİRDAĞ,298503,3769,424099,38539,764910,55.44430064,39.02459113
74,TOKAT,246880,1307,122560,19949,390696,31.36965825,63.18979462
75,TRABZON,349217,1957,151475,31981,534630,28.33267867,65.31937976
76,TUNCELİ,9178,72,45457,1933,56640,80.25600282,16.20409605
77,UŞAK,118509,1794,112365,16307,248975,45.13103725,47.5987549
78,VAN,191106,1887,334192,9554,536739,62.26340922,35.60501473
79,YALOVA,83608,1113,79547,10870,175138,45.41961196,47.7383549
80,YOZGAT,185629,903,54485,14333,255350,21.33738007,72.69590758
81,ZONGULDAK,205720,2874,164898,22985,396477,41.59081107,51.88699471